asof,expiry,lifecycle_event,gross_portfolio_value_before_costs,portfolio_value,cash,option_market_value,stock_market_value,pnl_options,pnl_stocks,pnl_total,pnl_cumulative,transaction_costs,transaction_costs_cumulative,theta_total,spy_delta_pre_hedge,aapl_delta_pre_hedge,spy_delta_post_hedge,aapl_delta_post_hedge,spy_spot,aapl_spot,spy_stock_position,aapl_stock_position,hedge_trade_spy,hedge_trade_aapl,hedge_notional_spy,hedge_notional_aapl,pnl_options_cumulative,pnl_stocks_cumulative,transaction_costs_cumulative_from_flows,running_max_pnl,drawdown
2021-09-01,2021-10-01,initial_hedge,0.0,-0.4382319565238504,-4453.273526871971,70.51572968742539,4382.319565228022,0.0,0.0,-0.4382319565238504,-0.4382319565238504,0.43823195652280217,0.43823195652280217,3.552713678800501e-15,-0.5660567287799481,-27.052227824366085,0.0,0.0,451.85,152.54,0.5660567287799481,27.052227824366085,0.5660567287799481,27.052227824366085,255.77273289921953,4126.546832328802,0.0,0.0,0.43823195652280217,-0.4382319565238504,0.0
2021-09-02,2021-10-01,daily_rehedge,29.460143357909146,28.88588554258331,-5626.576944518722,67.99316129620809,5587.469668765097,-2.5225683912173054,32.42094370564946,29.32411749910716,28.88588554258331,0.574257815325759,1.0124897718485613,-0.9520373958947985,-7.62925278909227,14.865164899571155,0.0,0.0,453.21,153.71,8.195309517872218,12.18706292479493,7.62925278909227,-14.865164899571155,3457.6536565445076,2284.9244967130826,-2.5225683912173054,32.42094370564946,1.0124897718485613,28.88588554258331,0.0
2021-09-03,2021-10-01,daily_rehedge,5.30492149550264,5.182139896293847,-4398.88373402342,38.165349731574224,4365.90052418814,-29.827811564633862,6.246847517553538,-23.703745646289462,5.182139896293847,0.122781599209451,1.1352713710580122,-0.6994023243474814,0.44784043797731243,6.641879634863258,0.0,0.0,453.08,154.31,7.7474690798949055,5.545183289931671,-0.44784043797731243,-6.641879634863258,202.90754563876072,1024.9084464557493,-32.35037995585117,38.667791223203,1.1352713710580122,28.88588554258331,-23.703745646289462
2021-09-07,2021-10-01,daily_rehedge,105.45241967234324,104.54342258347333,4690.178157593038,137.2686932093232,-4722.903428218888,99.10334347774898,1.1669362983005485,99.36128268717948,104.54342258347333,0.9089970888705329,2.0442684599285452,-2.4156716224243304,9.401054451207784,30.92027302422457,0.0,0.0,451.52,156.7,-1.6535853713128787,-25.3750897342929,-9.401054451207784,-30.92027302422457,4244.764105809339,4845.20678289599,66.75296352189781,39.834727521503545,2.0442684599285452,104.54342258347333,0.0
2021-09-08,2021-10-01,daily_rehedge,141.30799831811328,140.83423722093676,3222.7986370556278,133.03115520955873,-3214.9955550442496,-4.23753799976447,41.00211373440438,36.29081463746343,140.83423722093676,0.4737610971762872,2.5180295571048323,-3.36958073222109,3.626300211014744,-19.999086936575253,0.0,0.0,450.97,155.12,-5.279885582327623,-5.376002797717646,-3.626300211014744,19.999086936575253,1635.3526061613193,3102.258365601553,62.51542552213334,80.83684125590793,2.5180295571048323,140.83423722093676,0.0
2021-09-09,2021-10-01,daily_rehedge,51.03799472591709,50.24035401080346,6960.254790851943,26.876747905579464,-6936.891184746719,-106.15440730397927,16.358164808959316,-90.5938832101333,50.24035401080346,0.7976407151149756,3.315670272219808,-2.6227021359332134,13.048476180869685,-13.749524255899061,0.0,0.0,448.89,154.12,-18.328361763197307,8.373521458181415,-13.048476180869685,13.749524255899061,5857.330472830593,2119.0766783191634,-43.63898178184593,97.19500606486724,3.315670272219808,140.83423722093676,-90.5938832101333
2021-09-10,2021-10-01,daily_rehedge,199.12864549672122,197.44948153796486,5891.908668989457,156.70341968624803,-5851.1626071377395,129.82667178066856,19.06161970524984,147.2091275271614,197.44948153796486,1.6791639587577838,4.994834230977592,-0.29972488185200596,17.64788632348055,-59.91916033244385,0.0,0.0,445.52,149.02,-35.976248086677856,68.29268179062527,-17.64788632348055,59.91916033244385,7862.486314837054,8929.153272740783,86.18768999882263,116.25662577011708,4.994834230977592,197.44948153796486,0.0
2021-09-13,2021-10-01,daily_rehedge,171.29953421215487,171.17486558663313,4645.097745156584,126.99316129620809,-4600.916040866159,-29.71025839003994,3.5603110642290687,-26.274615951331725,171.17486558663313,0.12466862552073517,5.119502856498327,1.273156199057789,-1.3229362575811194,-4.383878091310834,0.0,0.0,446.56,149.62,-34.65331182909674,72.6765598819361,1.3229362575811194,4.383878091310834,590.7704151854247,655.915840021927,56.477431608782695,119.81693683434615,5.119502856498327,197.44948153796486,-26.274615951331725
2021-09-14,2021-10-01,daily_rehedge,128.31480515793737,127.32773942405947,8435.878855396062,102.29840446962453,-8410.849520441627,-24.694756826583557,-18.16530360211206,-43.84712616257366,127.32773942405947,0.9870657338781269,6.106568590376454,2.3813864728483374,15.379033200606301,-20.503538730463816,0.0,0.0,444.19,148.24,-50.03234502970304,93.18009861239992,-15.379033200606301,20.503538730463816,6831.212757377313,3039.4445814039564,31.782674782199138,101.65163323223409,6.106568590376454,197.44948153796486,-70.12174211390538
2021-09-15,2021-10-01,daily_rehedge,135.10451724606537,134.25778741980503,209.83168832897445,214.55965064457178,-290.1335515537412,112.26124617494725,-104.48446835294153,6.930047995745554,134.25778741980503,0.8467298262594917,6.9532984166359455,4.857480328813345,-18.635012391528697,0.8118639347890308,0.0,0.0,447.88,149.1,-31.39733263817434,92.36823467761089,18.635012391528697,-0.8118639347890308,8346.249349917873,121.0489126770445,144.04392095714638,-2.8328351207074434,6.9532984166359455,197.44948153796486,-63.19169411815983
